Clicense,StartDate,EndDate,Fee,Bphone
鲁Y98272,2023-01-07,2023-02-06,394.4,17466403945
豫Y48308,2023-09-22,2023-10-22,417.4,14275177144
闽O80183,2023-12-24,2024-01-23,383.54,12662938012
苏K24776,2023-01-05,2023-02-04,399.96,18826541466
鄂Z01995,2023-06-16,2023-07-16,417.39,18572028561
鄂M92351,2023-11-05,2023-12-05,482.75,15909168088
闽U80150,2023-06-18,2023-07-18,413.9,12759890649
冀G09226,2023-11-05,2023-12-05,397.72,10180549223
鲁A18411,2023-08-21,2023-09-20,311.49,17675596357
粤M98124,2023-08-03,2023-09-02,395.65,18408159195
湘S95562,2023-12-07,2024-01-06,394.96,18237871834
浙T85984,2023-03-15,2023-04-14,389.15,18375734060
吉U84772,2023-01-21,2023-02-20,447.46,13328168585
冀T74915,2023-03-31,2023-04-30,383.01,15888101287
蒙F26296,2023-12-24,2024-01-23,489.14,10700120894
皖Y59017,2023-04-22,2023-05-22,481.75,17885135188
辽G54067,2023-07-29,2023-08-28,390.19,11788866676
晋M02716,2023-06-25,2023-07-25,449.19,10966064354
粤R67442,2023-09-06,2023-10-06,392.27,11988951006
湘D11716,2023-03-29,2023-04-28,467.7,12964508117
闽L17854,2023-12-13,2024-01-12,354.65,15660373732
津M64503,2023-11-22,2023-12-22,462.3,16143033698
蒙G04931,2023-05-08,2023-06-07,374.93,19710221804
津Z86705,2023-02-02,2023-03-04,344.11,17115581790
晋T25912,2023-06-17,2023-07-17,364.54,19660283964
浙U33408,2023-06-15,2023-07-15,334.72,19399350267
粤G47497,2023-11-16,2023-12-16,373.8,16028817678
津T36397,2023-10-19,2023-11-18,334.29,15313287095
黑V43653,2023-06-20,2023-07-20,335.07,11300279610
京H07124,2023-04-30,2023-05-30,400.68,11012083346
渝L42362,2023-11-14,2023-12-14,315.88,10700120894
闽X81370,2023-11-03,2023-12-03,497.71,16028817678
吉Y08325,2023-08-01,2023-08-31,429.61,12070553284
蒙T85160,2023-12-07,2024-01-06,497.68,19642001549
沪U99115,2023-02-05,2023-03-07,490.73,16028817678
粤N73721,2023-04-15,2023-05-15,347.26,11012083346
闽U28493,2023-06-05,2023-07-05,357.07,11788866676
皖Q64194,2023-03-27,2023-04-26,394.14,11281178899
粤Y93551,2023-07-15,2023-08-14,385.48,11788866676
吉M54371,2023-08-26,2023-09-25,361.17,14525569325
鲁X74999,2023-04-08,2023-05-08,300.84,16210968278
鄂C40935,2023-07-16,2023-08-15,397.91,11075875138
苏Q76303,2023-08-12,2023-09-11,491.42,14275177144
沪L66662,2023-05-07,2023-06-06,348.47,17175136082
蒙T56110,2023-12-15,2024-01-14,329.47,12626828874
鄂C51482,2023-07-16,2023-08-15,379.53,18826541466
浙S34870,2023-09-14,2023-10-14,493.54,11300279610
苏E22760,2023-10-21,2023-11-20,455.34,14368318801
